punk_id,accessories,type,clean_accessories,neighbors,neighbors_clean
0,"['Green Eye Shadow', 'Earring', 'Blonde Bob']",female,female 'green eye shadow' 'earring' 'blonde bob',"[[184, 0.964], [3582, 0.964], [9431, 0.964], [2496, 0.9379], [7196, 0.9], [8487, 0.9], [8539, 0.8948], [7520, 0.8687], [103, 0.8645], [2751, 0.8566]]","[[184, 0.964], [3582, 0.964], [9431, 0.964], [2496, 0.9379], [7196, 0.9], [8487, 0.9], [8539, 0.8948], [7520, 0.8687], [103, 0.8645], [2751, 0.8566]]"
1,"['Smile', 'Mohawk']",male,male 'smile' 'mohawk',"[[7591, 0.923], [24, 0.8664], [3288, 0.8664], [4143, 0.8617], [5466, 0.8617], [6081, 0.8617], [9374, 0.8149], [3411, 0.8136], [7051, 0.8136], [8373, 0.8136]]","[[7591, 0.923], [24, 0.8664], [3288, 0.8664], [4143, 0.8617], [5466, 0.8617], [6081, 0.8617], [9374, 0.8149], [3411, 0.8136], [7051, 0.8136], [8373, 0.8136]]"
2,['Wild Hair'],female,female 'wild hair',"[[200, 1.0], [566, 1.0], [3412, 1.0], [97, 0.8516], [145, 0.8516], [699, 0.8516], [978, 0.8516], [42, 0.8095], [1313, 0.8095], [1944, 0.8095]]","[[200, 1.0], [566, 1.0], [3412, 1.0], [97, 0.8516], [145, 0.8516], [699, 0.8516], [978, 0.8516], [42, 0.8095], [1313, 0.8095], [1944, 0.8095]]"
3,"['Wild Hair', 'Nerd Glasses', 'Pipe']",male,male 'wild hair' 'nerd glasses' 'pipe',"[[723, 0.8287], [3937, 0.8287], [5091, 0.8287], [7494, 0.8287], [7381, 0.7903], [8329, 0.7903], [5192, 0.7785], [8587, 0.7785], [8270, 0.774], [481, 0.7717]]","[[723, 0.8287], [3937, 0.8287], [5091, 0.8287], [7494, 0.8287], [7381, 0.7903], [8329, 0.7903], [5192, 0.7785], [8587, 0.7785], [8270, 0.774], [481, 0.7717]]"
4,"['Big Shades', 'Wild Hair', 'Earring', 'Goat']",male,male 'big shades' 'wild hair' 'earring' 'goat',"[[7599, 0.8322], [8459, 0.8322], [3751, 0.8307], [1132, 0.7783], [1743, 0.7783], [1810, 0.7783], [4909, 0.7783], [6195, 0.7776], [286, 0.7767], [1437, 0.7767]]","[[7599, 0.8322], [8459, 0.8322], [3751, 0.8307], [1132, 0.7783], [1743, 0.7783], [1810, 0.7783], [4909, 0.7783], [6195, 0.7776], [286, 0.7767], [1437, 0.7767]]"
5,"['Purple Eye Shadow', 'Half Shaved', 'Earring']",female,female 'purple eye shadow' 'half shaved' 'earring',"[[8279, 1.0], [2390, 0.964], [8880, 0.964], [7710, 0.9305], [1544, 0.8989], [4073, 0.894], [3949, 0.8645], [71, 0.8603], [6631, 0.8561], [7593, 0.8561]]","[[8279, 1.0], [2390, 0.964], [8880, 0.964], [7710, 0.9305], [1544, 0.8989], [4073, 0.894], [3949, 0.8645], [71, 0.8603], [6631, 0.8561], [7593, 0.8561]]"
6,['Do-rag'],male,male 'do rag',"[[451, 1.0], [651, 1.0], [6930, 1.0], [386, 0.9387], [587, 0.9387], [678, 0.9387], [76, 0.8906], [4466, 0.8906], [4475, 0.8906], [1464, 0.8681]]","[[451, 1.0], [651, 1.0], [6930, 1.0], [386, 0.9387], [587, 0.9387], [678, 0.9387], [76, 0.8906], [4466, 0.8906], [4475, 0.8906], [1464, 0.8681]]"
7,"['Wild White Hair', 'Spots', 'Clown Eyes Blue']",female,female 'wild white hair' 'spots' 'clown eyes blue',"[[2273, 0.8651], [4585, 0.8651], [4895, 0.8651], [2360, 0.8375], [123, 0.8241], [8511, 0.8241], [9486, 0.7885], [6352, 0.7782], [6814, 0.7585], [4884, 0.7579]]","[[2273, 0.8651], [4585, 0.8651], [4895, 0.8651], [2360, 0.8375], [123, 0.8241], [8511, 0.8241], [9486, 0.7885], [6352, 0.7782], [6814, 0.7585], [4884, 0.7579]]"
8,"['Messy Hair', 'Luxurious Beard']",male,male 'messy hair' 'luxurious beard',"[[1376, 0.9473], [9738, 0.9473], [9184, 0.905], [149, 0.8428], [6934, 0.8296], [7845, 0.8296], [8295, 0.8296], [1459, 0.8249], [7865, 0.8197], [979, 0.8167]]","[[1376, 0.9473], [9738, 0.9473], [9184, 0.905], [149, 0.8428], [6934, 0.8296], [7845, 0.8296], [8295, 0.8296], [1459, 0.8249], [7865, 0.8197], [979, 0.8167]]"
9,"['Clown Nose', 'Police Cap', 'Big Beard']",male,male 'clown nose' 'police cap' 'big beard',"[[8525, 0.88], [7396, 0.7917], [2766, 0.7783], [9615, 0.7521], [3395, 0.6982], [821, 0.6945], [3387, 0.6945], [5178, 0.6945], [6892, 0.6839], [1492, 0.6809]]","[[8525, 0.88], [7396, 0.7917], [2766, 0.7783], [9615, 0.7521], [3395, 0.6982], [821, 0.6945], [3387, 0.6945], [5178, 0.6945], [6892, 0.6839], [1492, 0.6809]]"
10,"['Blue Eye Shadow', 'Mohawk']",female,female 'blue eye shadow' 'mohawk',"[[2092, 1.0], [5988, 1.0], [7803, 0.9398], [5426, 0.8966], [3450, 0.8934], [8961, 0.8934], [7172, 0.8496], [2210, 0.8485], [5904, 0.8485], [9846, 0.8485]]","[[2092, 1.0], [5988, 1.0], [7803, 0.9398], [5426, 0.8966], [3450, 0.8934], [8961, 0.8934], [7172, 0.8496], [2210, 0.8485], [5904, 0.8485], [9846, 0.8485]]"
11,"['Black Lipstick', 'Clown Eyes Green', 'Straight Hair Dark']",female,female 'black lipstick' 'clown eyes green' 'straight hair dark',"[[3724, 1.0], [9324, 0.9694], [1691, 0.9367], [2697, 0.9367], [238, 0.8917], [4198, 0.8917], [6045, 0.8917], [6150, 0.876], [6249, 0.876], [9338, 0.876]]","[[3724, 1.0], [9324, 0.9694], [1691, 0.9367], [2697, 0.9367], [238, 0.8917], [4198, 0.8917], [6045, 0.8917], [6150, 0.876], [6249, 0.876], [9338, 0.876]]"
12,"['Blonde Short', 'Purple Lipstick']",female,female 'blonde short' 'purple lipstick',"[[2713, 1.0], [4267, 1.0], [2436, 0.9583], [6357, 0.9583], [6465, 0.9583], [8850, 0.9583], [5419, 0.8777], [8873, 0.8777], [9473, 0.8754], [6215, 0.8618]]","[[2713, 1.0], [4267, 1.0], [2436, 0.9583], [6357, 0.9583], [6465, 0.9583], [8850, 0.9583], [5419, 0.8777], [8873, 0.8777], [9473, 0.8754], [6215, 0.8618]]"
