stat,amount
one_day_volume,592.49
one_day_change,-0.5165872523742698
one_day_sales,6.0
one_day_average_price,98.74833333333333
seven_day_volume,9473.12
seven_day_change,-0.03386774364622852
seven_day_sales,95.0
seven_day_average_price,99.71705263157895
thirty_day_volume,162881.561747886
thirty_day_change,1.9436132336455478
thirty_day_sales,341.0
thirty_day_average_price,477.6585388501056
total_volume,720096.930249314
total_sales,17798.0
total_supply,9999.0
count,9999.0
num_owners,3223
average_price,40.459429725211486
num_reports,1
market_cap,997070.809263158
floor_price,
